"id","code","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","wage_method","qty_base","qty_base_max","qty_base_min","activity_type","comment"
"estate.activity_1","10000","Kegiatan Kebun",,,,,"view",,,,,"estate",
"estate.activity_2","10001","Pembibitan","estate.activity_1",,,,"view",,,,,"estate",
"estate.activity_3","10002","Persiapan Areal","estate.activity_2",,,,"view",,,,,"estate",
"estate.activity_4","10003","Penetapan Areal (Survey Awal)","estate.activity_3","estate.product_uom_hectare",75000,,"normal","standard",1,1,0.666667,"estate","1 orang dapat mengcover 1 Ha"
"estate.activity_5","10004","Imas Tumbang","estate.activity_3","estate.product_uom_hectare",1125000,,"normal","standard",0.066667,0.066667,0.058824,"estate","15 orang dapat mengcover 1 Ha (1 HK mengcover 1/15 ha)"
"estate.activity_6","10005","Rumpuk","estate.activity_3","estate.product_uom_hectare",75000,,"normal","standard",1,1,1,"estate","1 orang dapat mengcover 1 Ha (1 pengawas alat berat)"
"estate.activity_7","10006","Pembuatan Tapak Bibitan","estate.activity_3","estate.product_uom_hectare",535714.285714,,"normal","standard",0.14,0.14,0.116667,"estate","50 HM/Ha, 1 hari 7 HM = 50/7"
"estate.activity_11","10007","Pembuatan Waduk","estate.activity_3","product.product_uom_unit",1500000,,"normal","standard",0.05,0.05,0.05,"estate","200 HM/unit waduk. 1 hari = 10 HM ( 30 m x 60 m)"
"estate.activity_12","10008","Pembuatan Instalasi Air","estate.activity_3","estate.product_uom_hectare",3750000,,"normal","standard",0.02,0.02,0.02,"estate","Pemasangan instalasi air 50 HK mengcover 1 Ha (40.000.000/20 Ha/31.000)"
"estate.activity_14","10009","Pembuatan Bedengan dan Naungan","estate.activity_3","product.product_uom_unit",300000,,"normal","standard",0.25,0.25,0.25,"estate","4 HK mampu mengcover 1 perlengkapan bedengan besar dan naungan panjang 25 m (16 HK mengcover bedengan panjang 100 mtr)"
"estate.activity_16","10010","Pre-Nursery","estate.activity_2",,,,"view",,,,,"estate",
"estate.activity_17","10011","Kecambah  ","estate.activity_16",,,,"view",,,,,"estate",
"estate.activity_18","10012","Mengisi Tanah - PN","estate.activity_16","estate.product_uom_bag",187.5,,"normal","standard",400,400,400,"estate","1 HK mampu mengisi 400 bag"
"estate.activity_19","10013","Mengatur Baby Bag - PN","estate.activity_16","estate.product_uom_bag",75,,"normal","standard",1000,1000,1000,"estate","1 HK mampu menyusun 1000 bag"
"estate.activity_20","10014","Seleksi Kecambah - PN","estate.activity_16","estate.product_uom_kecambah",15,,"normal","standard",5000,5000,5000,"estate","1 HK mampu menyeleksi 5000 kecambah"
"estate.activity_21","10015","Penanaman Kecambah - PN","estate.activity_16","estate.product_uom_kecambah",75,,"normal","standard",1000,1000,1000,"estate","1 HK mampu menanam 1000 kecambah"
"estate.activity_22","10016","Pembuatan Papan Nama Bibitan (Labelling) - PN","estate.activity_16","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK mampu mengcover dan memasang 10 label"
"estate.activity_23","10017","Penyiraman Manual - PN","estate.activity_16","estate.product_uom_bibit",1.5,,"normal","standard",50000,50000,50000,"estate","1 HK mampu menyiram 20 bedengan kecil (1 bed kecil = 2500 bbt) dalam 1 hari"
"estate.activity_24","10018","Penyiraman Mekanis - PN","estate.activity_16","estate.product_uom_bibit",1.5,,"normal","standard",50000,50000,50000,"estate","1 HK mampu menyiram 20 bedengan kecil (1 bed kecil = 2500 bbt) dalam 1 hari"
"estate.activity_25","10019","Rawat Parit Bedengan - PN","estate.activity_16","product.product_uom_meter",750,,"normal","standard",100,100,100,"estate","1 HK dapat mengcover 5 jalur bedengan besar panjang 100 meter. Panjang parit = panjang bedengan"
"estate.activity_26","10020","Pemeliharaan Instalasi Air - PN","estate.activity_16","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 Ha luas areal bibitan"
"estate.activity_27","10021","Pemupukan Pre Nursery","estate.activity_16","product.product_uom_kgm",5000,,"normal","standard",15,15,15,"estate","1 HK dapat memupuk 15 Kg"
"estate.activity_28","10022","Pengendalian Gulma Di Polibag - PN","estate.activity_16","estate.product_uom_bibit",15,,"normal","standard",5000,5000,5000,"estate","1 HK dapat mengcover 2 bedengan kecil, 2 bedengan = 5000 bibit"
"estate.activity_29","10023","Pengendalian Gulma Di Luar Polibag - PN","estate.activity_16","estate.product_uom_bibit",15,,"normal","standard",5000,5000,5000,"estate","1 HK dapat mengcover 2 bedengan kecil, 2 bedengan = 5000 bibit"
"estate.activity_30","10024","Pengendalian Hama Penyakit Tanaman - PN","estate.activity_16","estate.product_uom_bibit",1.5,,"normal","standard",50000,50000,50000,"estate","1 HK dapat mengcover 20 bedengan, 1 bedengan = 2500 bibit"
"estate.activity_31","10025","Sensus - PN","estate.activity_16","estate.product_uom_bibit",7.5,,"normal","standard",10000,10000,10000,"estate","1 HK dapat mengcover 4 bedengan"
"estate.activity_32","10026","Seleksi - PN","estate.activity_16","estate.product_uom_bibit",15,,"normal","standard",5000,5000,5000,"estate","1 HK dapat mengcover 2 bedengan"
"estate.activity_33","10027","Main Nursery","estate.activity_2",,,,"view",,,,,"estate",
"estate.activity_34","10028","Mengisi Tanah - MN","estate.activity_33","estate.product_uom_bag",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 200 bibit"
"estate.activity_35","10029","Penambahan Tanah - MN","estate.activity_33","estate.product_uom_bag",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 bibit"
"estate.activity_36","10030","Spacing & Susun Polibag - MN","estate.activity_33","estate.product_uom_bag",107.142857,,"normal","standard",700,700,700,"estate","1 HK dapat mengcover 700 bibit"
"estate.activity_37","10031","Langsir Polibag - MN","estate.activity_33","estate.product_uom_bag",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 200 bibit"
"estate.activity_38","10032","Pembuatan Papan Nama Bibitan (Labelling) - MN","estate.activity_33","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK dapat mengcover 10 label"
"estate.activity_39","10033","Mencabut & Angkut Ke MN ","estate.activity_33","estate.product_uom_bag",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 bibit"
"estate.activity_40","10034","Membuat Lubang Tanam (Bor) - MN","estate.activity_33","estate.product_uom_bag",187.5,,"normal","standard",400,400,400,"estate","1 HK dapat mengcover 400 bibit"
"estate.activity_41","10035","Tanam Bibit - MN","estate.activity_33","estate.product_uom_bag",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 200 bibit"
"estate.activity_42","10036","Penyiraman Manual - MN","estate.activity_33","estate.product_uom_bibit",18.75,,"normal","standard",4000,4000,4000,"estate","1 HK dapat mengcover 4000 bbt"
"estate.activity_43","10037","Penyiraman Mekanis - MN","estate.activity_33","estate.product_uom_bibit",0.625,,"normal","standard",120000,120000,120000,"estate","1 HK dapat mengcover 10 plot (1 plot = 1 Ha) = 120000 bibit"
"estate.activity_44","10038","Rawat Parit - MN","estate.activity_33","estate.product_uom_bibit",2.083333,,"normal","standard",36000,36000,36000,"estate","1 HK dapat mengcover 3 plot (3 Ha), panjang parit per plot = 600 m"
"estate.activity_45","10039","Pemeliharaan Instalasi Air - MN","estate.activity_33","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","4 HK dapat mengcover 20 Ha"
"estate.activity_46","10040","Pemupukan - MN","estate.activity_33","product.product_uom_kgm",600,,"normal","standard",125,125,125,"estate","1 HK dapat memupuk 125 Kg"
"estate.activity_47","10041","Pengendalian Gulma Di Polibag - MN","estate.activity_33","estate.product_uom_bibit",25,,"normal","standard",3000,3000,3000,"estate","4 HK dapat mengcover 1 ha ( 1 ha = 12000)"
"estate.activity_48","10042","Pengendalian Gulma Di Luar Polibag - MN","estate.activity_33","estate.product_uom_hectare",25,,"normal","standard",3000,3000,3000,"estate","4 HK dapat mengcover 1 ha ( 1 ha = 12000)"
"estate.activity_49","10043","Pengendalian Hama Penyakit Tanaman - MN","estate.activity_33","estate.product_uom_bibit",16.666667,,"normal","standard",4500,4500,4500,"estate","1 HK dapat mengcover 4500 bibit"
"estate.activity_50","10044","Sensus - MN","estate.activity_33","estate.product_uom_bibit",6.25,,"normal","standard",12000,12000,12000,"estate","1 HK dapat mengcover 12000 bibit"
"estate.activity_51","10045","Seleksi - MN","estate.activity_33","estate.product_uom_bibit",6.25,,"normal","standard",12000,12000,12000,"estate","1 HK dapat mengcover 12000 bibit"
"estate.activity_52","10046","Menegakkan Polibag dan Bibit - MN","estate.activity_33","estate.product_uom_bibit",6.25,,"normal","standard",12000,12000,12000,"estate","1 HK dapat mengcover 12000 bibit"
"estate.activity_53","10047","Penggantian Polibag - MN","estate.activity_33","estate.product_uom_bag",6.25,,"normal","standard",12000,12000,12000,"estate","1 HK dapat mengcover 12000 bibit"
"estate.activity_55","10048","Tanaman Belum Menghasilkan ","estate.activity_1",,,,"view",,,,,"estate",
"estate.activity_56","10049","Land Clearing ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_57","10050","Survey Areal ","estate.activity_56","estate.product_uom_hectare",75000,,"normal","standard",1,1,0.666667,"estate","1 orang dapat mengcover 1 Ha"
"estate.activity_58","10051","Blocking ","estate.activity_56","product.product_uom_meter",341.94269,,"normal","standard",219.335,219.335,164.50125,"estate","6 HK dapat mengcover 30 Ha (43,867 Mtr/Ha)"
"estate.activity_59","10052","Imas Tumbang ","estate.activity_56","estate.product_uom_hectare",1125000,,"normal","standard",0.066667,0.066667,0.058824,"estate","15 orang dapat mengcover 1 Ha"
"estate.activity_60","10053","Rumpuk","estate.activity_56","estate.product_uom_hectare",75000,,"normal","standard",1,1,1,"estate","1 orang dapat mengcover 1 Ha (1 pengawas alat berat)"
"estate.activity_61","10054","Rencek ","estate.activity_56","estate.product_uom_hectare",75000,,"normal","standard",1,1,1,"estate","Pembantu operator chainsaw "
"estate.activity_62","10055","Cuci Tunggul ","estate.activity_56","estate.product_uom_hectare",75000,,"normal","standard",1,1,1,"estate","Pembantu operator chainsaw "
"estate.activity_63","10056","Lalang Sheet & Sporadis ","estate.activity_56","estate.product_uom_hectare",600000,,"normal","standard",0.125,0.125,0.125,"estate","8 HK dapat mengcover 1 Ha sheet per rotasi"
"estate.activity_64","10057","Wiping ","estate.activity_56","estate.product_uom_hectare",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 3 Ha"
"estate.activity_65","10058","Bajak","estate.activity_56","estate.product_uom_hectare",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 3Ha/hari"
"estate.activity_66","10059","Garu","estate.activity_56","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 5Ha/hari"
"estate.activity_67","10060","Compacting ","estate.activity_56","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengawasi 1 alat, dimana output alat = 5 Ha/hari"
"estate.activity_68","10061","Pembuatan Infrastuktur Jalan dan Jembatan ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_69","10062","Pembuatan Access Road ","estate.activity_68","product.product_uom_meter",600,,"normal","standard",125,125,120,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 12,5 mtr/HM = 125 mtr/Hari"
"estate.activity_70","10063","Pembuatan Main Road ","estate.activity_68","product.product_uom_meter",250,,"normal","standard",300,300,250,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 30 mtr/HM = 300 mtr/Hari"
"estate.activity_71","10064","Pembuatan Collection Road ","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,450,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 50 mtr/HM = 500 mtr/Hari"
"estate.activity_72","10065","Pembuatan Contour Road ","estate.activity_68","product.product_uom_meter",125,,"normal","standard",600,600,600,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 60 mtr/HM = 600 mtr/Hari"
"estate.activity_73","10066","Penimbunan Access Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_74","10067","Penimbunan Main Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_75","10068","Penimbunan Collection Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_76","10069","Pembuatan Gambangan ","estate.activity_68","product.product_uom_meter",1071.428571,,"normal","standard",70,70,70,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 70 mtr/hari"
"estate.activity_77","10070","Pembuatan Jembatan Kayu ","estate.activity_68","product.product_uom_unit",37500,,"normal","standard",2,2,2,"estate","1 HK dapat mengcover 2 unit jembatan"
"estate.activity_78","10071","Pembuatan Jembatan Beton ","estate.activity_68","product.product_uom_unit",75000,,"normal","standard",1,1,1,"estate","1 HK dapat mengcover 1 unit jembatan"
"estate.activity_79","10072","Pembuatan Gorong-Gorong ","estate.activity_68","product.product_uom_unit",18750,,"normal","standard",4,4,4,"estate","1 HK dapat mengcover 4 unit jembatan"
"estate.activity_80","10073","Pembuatan Parit, Teresan, Tpk Kuda dan Planting Pocket ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_81","10074","Pembuatan Parit Main ","estate.activity_80","product.product_uom_meter",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 200 mtr/hari"
"estate.activity_82","10075","Pembuatan Parit Collection ","estate.activity_80","product.product_uom_meter",250,,"normal","standard",300,300,300,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 300 mtr/hari"
"estate.activity_83","10076","Pembuatan Parit Field ","estate.activity_80","product.product_uom_meter",187.5,,"normal","standard",400,400,400,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 400 mtr/hari"
"estate.activity_84","10077","Pecucian Parit Alam","estate.activity_80","product.product_uom_meter",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 200 mtr/hari"
"estate.activity_85","10078","Pembuatan Teresan ","estate.activity_80","product.product_uom_meter",107.142857,,"normal","standard",700,700,700,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 700 mtr/hari"
"estate.activity_86","10079","Pembuatan Planting Pocket ","estate.activity_80","product.product_uom_unit",500,,"normal","standard",150,150,150,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 150 unit/hari"
"estate.activity_87","10080","Pembuatan Tapak Kuda ","estate.activity_80","product.product_uom_unit",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 3 unit"
"estate.activity_88","10081","Pembuatan Bumbunan ","estate.activity_80","product.product_uom_unit",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 unit"
"estate.activity_89","10082","Pembuatan Benteng Rorak ","estate.activity_80","product.product_uom_unit",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 unit"
"estate.activity_90","10083","Pembuatan Bendungan ","estate.activity_80","product.product_uom_unit",37500,,"normal","standard",2,,,"estate","1 HK dapat mengcover 2 unit"
"estate.activity_91","10084","Pembuatan Pintu Air ","estate.activity_80","product.product_uom_unit",750000,,"normal","standard",0.1,0.1,0.1,"estate","10 HK dapat mengcover 1 unit"
"estate.activity_92","10085","Penanaman Kacangan ","estate.activity_55",,,,"view",,,,,"estate",
