id,type,estate_product,property_cost_method,create_uid/id,create_date,property_account_expense_categ_id/id,removal_strategy_id/id,property_account_income_categ_id/id,property_valuation,write_uid/id,write_date,parent_left,name,parent_id/id,property_account_creditor_price_difference_categ/id,parent_right,route_ids/id,sequence,property_stock_account_input_categ_id/id,property_stock_journal/id,property_stock_account_output_categ_id/id,property_stock_valuation_account_id/id
product_product_category_pg_13_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Hiline,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Ford,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_a8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts STHIL Chainsaw 070,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_a9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts STHIL Chainsaw 381,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Dumptruck Isuzu Elf 125,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Tractor MF 455 Xtra,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Waterpump mitsubishi 6D22-T,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Waterpump mitsubishi S6KT,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Waterpump Yanmar TS230,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Part Mitsubishi Triton,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Genset Perkins PL-15 KVA,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Toyota Hillux Double Cabin,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_b9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Honda GL Pro 150,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_c1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Kawasaki KLX 150,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_c2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Mitsubishi Pajero,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_c3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Toyota Avanza,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_c4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts STHIL lawn mower FR 3001,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_13_c5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Parts Genset Yamaha EF 6600,product_product_category_pg_13,,17,,0,,,,
product_product_category_pg_14,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Bangunan,product_product_category_pg,,17,,0,,,,
product_product_category_pg_14_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Dasar,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pelapis dan Perekat,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Atap,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Paku,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Baut,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kawat,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Siap Pasang,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kunci,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_14_a9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Perkakas Tukang,product_product_category_pg_14,,17,,0,,,,
product_product_category_pg_15,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Elektrikal,product_product_category_pg,,17,,0,,,,
product_product_category_pg_15_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Lampu,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Fitting Lampu,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kabel,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Accessories Kabel,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Breaker,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Saklar,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Stop Kontak,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Steker,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_15_a9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Perkakas electrician,product_product_category_pg_15,,17,,0,,,,
product_product_category_pg_16,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Material Plumbing,product_product_category_pg,,17,,0,,,,
product_product_category_pg_16_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Tanki,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Perkakas Plumbing,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Selang,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Valve,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Glue,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe PVC,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Fitting PVC,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe Galvanis,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Fitting Galvanis,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a0,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe Seamless,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_17,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,"Jasa Sipil, Teknik dan Konsultan",product_product_category_pg,,17,,0,,,,
product_product_category_pg_17_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pemeliharaan - kendaraan,product_product_category_pg_17,,17,,0,,,,
product_product_category_pg_17_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pemeliharaan - Alat Berat,product_product_category_pg_17,,17,,0,,,,
product_product_category_pg_17_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pemeliharaan - Mesin dan pompa,product_product_category_pg_17,,17,,0,,,,
product_product_category_pg_17_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Bangunan dan Infrastuktur,product_product_category_pg_17,,17,,0,,,,
product_product_category_pg_17_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pemeliharaan - Mesin Lainnya,product_product_category_pg_17,,17,,0,,,,
product_product_category_pg_18,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kendaraan dan Alat Berat,product_product_category_pg,,17,,0,,,,
product_product_category_pg_18_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Kendaraan,product_product_category_pg_18,,17,,0,,,,
product_product_category_pg_18_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Alat Berat,product_product_category_pg_18,,17,,0,,,,
product_product_category_pg_19,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Mesin dan peralatan Lainnya,product_product_category_pg,,17,,0,,,,
product_product_category_pg_19_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Mesin Genset dan Pompa,product_product_category_pg_19,,17,,0,,,,
product_product_category_pg_19_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Mesin dan peralatan Workshop,product_product_category_pg_19,,17,,0,,,,
product_product_category_pg_19_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Peralatan lainnya,product_product_category_pg_19,,17,,0,,,,
product_product_category_pg_20,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Alat Ukur dan Laboratorium,product_product_category_pg,,17,,0,,,,
product_product_category_pg_20_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Alat Ukur,product_product_category_pg_20,,17,,0,,,,
product_product_category_pg_21_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Laboratorium,product_product_category_pg_20,,17,,0,,,,
product_product_category_pg_11,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Inventaris dan Barang Rumah Tangga,product_product_category_pg,,17,,0,,,,
